uid,pro_num,ac_rate,repeat_num,con_num,pass_pct
U150438,25,0.2608695652173913,1.84,11.0,0.3344155844155844
U150458,77,0.5816993464052288,1.9870129870129871,16.0,0.509375
U150479,63,0.44,2.380952380952381,13.0,0.4594072594072593
U150482,18,0.4489795918367347,2.7222222222222223,16.0,0.6283482142857144
U150506,45,0.3877551020408163,2.1777777777777776,17.0,0.4489050165520754
U150532,2,0.4,2.5,0.0,0.0
U150539,72,0.5136986301369864,2.0277777777777777,16.0,0.6417410714285715
U150585,31,0.4107142857142857,1.8064516129032258,16.0,0.492485119047619
U150593,1,0.25,4.0,2.0,0.08035714285714285
U150663,69,0.44375,2.318840579710145,18.0,0.28095238095238095
U150669,5,0.625,1.6,2.0,1.0
U150702,40,0.3238095238095238,2.625,12.0,0.2971133033633033
U150754,3,0.5,1.3333333333333333,0.0,0.0
U150759,74,0.375,2.7027027027027026,18.0,0.49466089466089475
U150763,2,0.1111111111111111,4.5,16.0,0.5368303571428572
U150779,84,0.5284090909090909,2.0952380952380953,18.0,0.4234006734006734
U150796,22,0.45614035087719296,2.590909090909091,2.0,0.875
U150850,21,0.33962264150943394,2.5238095238095237,17.0,0.4604787369493252
U150908,40,0.4880952380952381,2.1,14.0,0.4428107606679035
U150909,19,0.36363636363636365,2.3157894736842106,5.0,0.13571428571428573
U150963,15,0.37209302325581395,2.8666666666666667,14.0,0.5514455782312925
U150984,15,0.2857142857142857,2.3333333333333335,16.0,0.8098958333333334
U150993,88,0.572972972972973,2.102272727272727,16.0,0.8526785714285714
U151035,28,0.47692307692307695,2.3214285714285716,15.0,0.692063492063492
U151043,71,0.32547169811320753,2.9859154929577465,18.0,0.5704304954304953
U151060,30,0.2727272727272727,2.933333333333333,17.0,0.44286987522281634
U151091,10,0.7692307692307693,1.3,3.0,0.9166666666666666
U151114,48,0.5411764705882353,1.7708333333333333,17.0,0.25509294626941686
U151122,2,0.08333333333333333,6.0,10.0,0.4166666666666667
U151126,2,0.6666666666666666,1.5,4.0,1.0
U151129,34,0.3723404255319149,2.764705882352941,12.0,0.5210317460317461
U151148,24,0.36065573770491804,2.5416666666666665,27.0,0.6081686831686832
U151168,17,0.42105263157894735,2.235294117647059,16.0,0.5645089285714285
U151186,6,0.5555555555555556,1.5,3.0,0.24848484848484845
U151208,60,0.3033175355450237,3.5166666666666666,15.0,0.43505772005772
U151218,25,0.43283582089552236,2.68,13.0,0.6098901098901099
U151220,11,0.28205128205128205,3.5454545454545454,3.0,1.0
U151222,4,1.0,1.0,0.0,0.0
U151228,1,1.0,1.0,14.0,0.5291666666666667
U151254,9,0.8181818181818182,1.2222222222222223,4.0,0.8026315789473684
